condition_name,num_modalities,modalities,detection_auc,detection_auc_ci_lower,detection_auc_ci_upper,mean_lead_time_hours,median_lead_time_hours,source_attribution_top1,false_positive_rate,cost_efficiency,num_events_detected
sensor,1,sensor,0.942881,0.939021,0.948258,1373.20,-1.00,0.0000,0.0000,0.0000,10
satellite,1,satellite,0.728012,0.716551,0.737887,194.06,-5.81,0.0000,0.0000,0.0000,0
microbial,1,microbial,0.608874,0.597395,0.619611,2748.22,264.46,0.0000,0.0000,0.0000,0
molecular,1,molecular,0.501086,0.494165,0.514588,0.00,0.00,0.0000,0.0000,0.0000,0
behavioral,1,behavioral,0.842476,0.832703,0.850154,1413.31,30.98,0.0000,0.0000,0.0000,0
sensor+satellite,2,sensor;satellite,0.943061,0.939715,0.948817,1373.20,-1.00,0.1000,0.0000,0.0000,10
sensor+microbial,2,sensor;microbial,0.943034,0.939251,0.948342,1373.20,-1.00,0.0000,0.0000,0.0000,10
sensor+molecular,2,sensor;molecular,0.942881,0.939021,0.948258,1373.20,-1.00,0.0000,0.0000,0.0000,10
sensor+behavioral,2,sensor;behavioral,0.991339,0.989305,0.992405,1359.11,-15.00,0.0000,0.0000,0.0000,10
satellite+microbial,2,satellite;microbial,0.800273,0.784089,0.802959,1514.96,12.11,0.0000,0.0000,0.0000,0
satellite+molecular,2,satellite;molecular,0.728012,0.716551,0.737887,194.06,-5.81,0.0000,0.0000,0.0000,0
satellite+behavioral,2,satellite;behavioral,0.842420,0.832765,0.850292,1247.93,30.98,0.0000,0.0000,0.0000,0
microbial+molecular,2,microbial;molecular,0.608874,0.597395,0.619611,2748.22,264.46,0.0000,0.0000,0.0000,0
microbial+behavioral,2,microbial;behavioral,0.842931,0.833515,0.850751,1413.51,30.98,0.0000,0.0000,0.0000,0
molecular+behavioral,2,molecular;behavioral,0.842476,0.832703,0.850154,1413.31,30.98,0.0000,0.0000,0.0000,0
sensor+satellite+microbial,3,sensor;satellite;microbial,0.943215,0.940033,0.949002,1373.20,-1.00,0.1000,0.0000,0.0000,10
sensor+satellite+molecular,3,sensor;satellite;molecular,0.943061,0.939715,0.948817,1373.20,-1.00,0.1000,0.0000,0.0000,10
sensor+satellite+behavioral,3,sensor;satellite;behavioral,0.991754,0.990407,0.993128,1359.11,-15.00,0.0000,0.0000,0.0000,10
sensor+microbial+molecular,3,sensor;microbial;molecular,0.943034,0.939251,0.948342,1373.20,-1.00,0.0000,0.0000,0.0000,10
sensor+microbial+behavioral,3,sensor;microbial;behavioral,0.991526,0.989697,0.992659,1359.11,-15.00,0.0000,0.0000,0.0000,10
sensor+molecular+behavioral,3,sensor;molecular;behavioral,0.991339,0.989305,0.992405,1359.11,-15.00,0.0000,0.0000,0.0000,10
satellite+microbial+molecular,3,satellite;microbial;molecular,0.800273,0.784089,0.802959,1514.96,12.11,0.0000,0.0000,0.0000,0
satellite+microbial+behavioral,3,satellite;microbial;behavioral,0.842877,0.833762,0.851249,1247.93,30.98,0.0000,0.0000,0.0000,0
satellite+molecular+behavioral,3,satellite;molecular;behavioral,0.842420,0.832765,0.850292,1247.93,30.98,0.0000,0.0000,0.0000,0
microbial+molecular+behavioral,3,microbial;molecular;behavioral,0.842931,0.833515,0.850751,1413.51,30.98,0.0000,0.0000,0.0000,0
sensor+satellite+microbial+molecular,4,sensor;satellite;microbial;molecular,0.943215,0.940033,0.949002,1373.20,-1.00,0.1000,0.0000,0.0000,10
sensor+satellite+microbial+behavioral,4,sensor;satellite;microbial;behavioral,0.991942,0.990673,0.993354,1359.11,-15.00,0.0000,0.0000,0.0000,10
sensor+satellite+molecular+behavioral,4,sensor;satellite;molecular;behavioral,0.991754,0.990407,0.993128,1359.11,-15.00,0.0000,0.0000,0.0000,10
sensor+microbial+molecular+behavioral,4,sensor;microbial;molecular;behavioral,0.991526,0.989697,0.992659,1359.11,-15.00,0.0000,0.0000,0.0000,10
satellite+microbial+molecular+behavioral,4,satellite;microbial;molecular;behavioral,0.842877,0.833762,0.851249,1247.93,30.98,0.0000,0.0000,0.0000,0
sensor+satellite+microbial+molecular+behavioral,5,sensor;satellite;microbial;molecular;behavioral,0.991942,0.990673,0.993354,1359.11,-15.00,0.0000,0.0000,0.0000,10
